Name,Stock Count,Market Cap,atag,link
Communications Network Software,3,$0.003T,/stocks/industry/231/communications-network-software,https://www.macrotrends.net//stocks/industry/231/communications-network-software
Rubber & Plastic Products,2,$0.003T,/stocks/industry/170/rubber-plastic-products,https://www.macrotrends.net//stocks/industry/170/rubber-plastic-products
Semiconductor - Discretes,1,$0.003T,/stocks/industry/247/semiconductor---discretes,https://www.macrotrends.net//stocks/industry/247/semiconductor---discretes
Glass Products Manufacturing,1,$0.002T,/stocks/industry/80/glass-products-manufacturing,https://www.macrotrends.net//stocks/industry/80/glass-products-manufacturing
Wireline - National Providers,1,$0.002T,/stocks/industry/233/wireline---national-providers,https://www.macrotrends.net//stocks/industry/233/wireline---national-providers
Satellite Communication,2,$0.002T,/stocks/industry/237/satellite-communication,https://www.macrotrends.net//stocks/industry/237/satellite-communication
Oil & Gas - US Royalty,10,$0.002T,/stocks/industry/126/oil-gas---us-royalty,https://www.macrotrends.net//stocks/industry/126/oil-gas---us-royalty
Wireline - Non US Providers,2,$0.002T,/stocks/industry/235/wireline---non-us-providers,https://www.macrotrends.net//stocks/industry/235/wireline---non-us-providers
Printing & Trade Machinery,1,$0.002T,/stocks/industry/101/printing-trade-machinery,https://www.macrotrends.net//stocks/industry/101/printing-trade-machinery
Material Handling Machinery,1,$0.001T,/stocks/industry/100/material-handling-machinery,https://www.macrotrends.net//stocks/industry/100/material-handling-machinery
Medical - Nursing Homes,3,$0.001T,/stocks/industry/110/medical---nursing-homes,https://www.macrotrends.net//stocks/industry/110/medical---nursing-homes
Semiconductors - Communication,1,$0.000T,/stocks/industry/226/semiconductors---communication,https://www.macrotrends.net//stocks/industry/226/semiconductors---communication
Retail - Mail Order,1,$0.000T,/stocks/industry/163/retail---mail-order--,https://www.macrotrends.net//stocks/industry/163/retail---mail-order--
Commercial Printing Services,2,$0.000T,/stocks/industry/145/commercial-printing-services,https://www.macrotrends.net//stocks/industry/145/commercial-printing-services
