ticker,comp_name,full_url,mt_name,industry,country,link,url
MD,MEDNAX,https://www.macrotrends.net/stocks/charts/MD/mednax/,mednax,Medical - Hospitals,United States,<a href='https://www.macrotrends.net/stocks/charts/MD/mednax/stock-price-history'>MEDNAX (MD)</a>,https://www.macrotrends.net/stocks/charts/MD/mednax/
CYH,Community Health Systems,https://www.macrotrends.net/stocks/charts/CYH/community-health-systems/,community-health-systems,Medical - Hospitals,United States,<a href='https://www.macrotrends.net/stocks/charts/CYH/community-health-systems/stock-price-history'>Community Health Systems (CYH)</a>,https://www.macrotrends.net/stocks/charts/CYH/community-health-systems/
NUE,Nucor,https://www.macrotrends.net/stocks/charts/NUE/nucor/,nucor,Steel Producers,United States,<a href='https://www.macrotrends.net/stocks/charts/NUE/nucor/stock-price-history'>Nucor (NUE)</a>,https://www.macrotrends.net/stocks/charts/NUE/nucor/
MT,ArcelorMittal,https://www.macrotrends.net/stocks/charts/MT/arcelormittal/,arcelormittal,Steel Producers,Luxembourg,<a href='https://www.macrotrends.net/stocks/charts/MT/arcelormittal/stock-price-history'>ArcelorMittal (MT)</a>,https://www.macrotrends.net/stocks/charts/MT/arcelormittal/
TX,Ternium S.A,https://www.macrotrends.net/stocks/charts/TX/ternium-sa/,ternium-sa,Steel Producers,Luxembourg,<a href='https://www.macrotrends.net/stocks/charts/TX/ternium-sa/stock-price-history'>Ternium S.A (TX)</a>,https://www.macrotrends.net/stocks/charts/TX/ternium-sa/
GGB,Gerdau S.A,https://www.macrotrends.net/stocks/charts/GGB/gerdau-sa/,gerdau-sa,Steel Producers,Brazil,<a href='https://www.macrotrends.net/stocks/charts/GGB/gerdau-sa/stock-price-history'>Gerdau S.A (GGB)</a>,https://www.macrotrends.net/stocks/charts/GGB/gerdau-sa/
X,United States Steel,https://www.macrotrends.net/stocks/charts/X/united-states-steel/,united-states-steel,Steel Producers,United States,<a href='https://www.macrotrends.net/stocks/charts/X/united-states-steel/stock-price-history'>United States Steel (X)</a>,https://www.macrotrends.net/stocks/charts/X/united-states-steel/
SID,National Steel,https://www.macrotrends.net/stocks/charts/SID/national-steel/,national-steel,Steel Producers,Brazil,<a href='https://www.macrotrends.net/stocks/charts/SID/national-steel/stock-price-history'>National Steel (SID)</a>,https://www.macrotrends.net/stocks/charts/SID/national-steel/
CMC,Commercial Metals,https://www.macrotrends.net/stocks/charts/CMC/commercial-metals/,commercial-metals,Steel Producers,United States,<a href='https://www.macrotrends.net/stocks/charts/CMC/commercial-metals/stock-price-history'>Commercial Metals (CMC)</a>,https://www.macrotrends.net/stocks/charts/CMC/commercial-metals/
RYI,Ryerson Holding,https://www.macrotrends.net/stocks/charts/RYI/ryerson-holding/,ryerson-holding,Steel Producers,United States,<a href='https://www.macrotrends.net/stocks/charts/RYI/ryerson-holding/stock-price-history'>Ryerson Holding (RYI)</a>,https://www.macrotrends.net/stocks/charts/RYI/ryerson-holding/
MTL,Mechel PAO,https://www.macrotrends.net/stocks/charts/MTL/mechel-pao/,mechel-pao,Steel Producers,Russia,<a href='https://www.macrotrends.net/stocks/charts/MTL/mechel-pao/stock-price-history'>Mechel PAO (MTL)</a>,https://www.macrotrends.net/stocks/charts/MTL/mechel-pao/
TMST,Timken Steel,https://www.macrotrends.net/stocks/charts/TMST/timken-steel/,timken-steel,Steel Producers,United States,<a href='https://www.macrotrends.net/stocks/charts/TMST/timken-steel/stock-price-history'>Timken Steel (TMST)</a>,https://www.macrotrends.net/stocks/charts/TMST/timken-steel/
PKX,POSCO,https://www.macrotrends.net/stocks/charts/PKX/posco/,posco,Steel Producers,South Korea,<a href='https://www.macrotrends.net/stocks/charts/PKX/posco/stock-price-history'>POSCO (PKX)</a>,https://www.macrotrends.net/stocks/charts/PKX/posco/
HLT,Hilton Worldwide Holdings,https://www.macrotrends.net/stocks/charts/HLT/hilton-worldwide-holdings/,hilton-worldwide-holdings,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/HLT/hilton-worldwide-holdings/stock-price-history'>Hilton Worldwide Holdings (HLT)</a>,https://www.macrotrends.net/stocks/charts/HLT/hilton-worldwide-holdings/
IHG,Intercontinental Hotels Group,https://www.macrotrends.net/stocks/charts/IHG/intercontinental-hotels-group/,intercontinental-hotels-group,Hotels & Motels,United Kingdom,<a href='https://www.macrotrends.net/stocks/charts/IHG/intercontinental-hotels-group/stock-price-history'>Intercontinental Hotels Group (IHG)</a>,https://www.macrotrends.net/stocks/charts/IHG/intercontinental-hotels-group/
H,Hyatt Hotels,https://www.macrotrends.net/stocks/charts/H/hyatt-hotels/,hyatt-hotels,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/H/hyatt-hotels/stock-price-history'>Hyatt Hotels (H)</a>,https://www.macrotrends.net/stocks/charts/H/hyatt-hotels/
CHH,Choice Hotels,https://www.macrotrends.net/stocks/charts/CHH/choice-hotels/,choice-hotels,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/CHH/choice-hotels/stock-price-history'>Choice Hotels (CHH)</a>,https://www.macrotrends.net/stocks/charts/CHH/choice-hotels/
WH,Wyndham Hotels & Resorts,https://www.macrotrends.net/stocks/charts/WH/wyndham-hotels-resorts/,wyndham-hotels-resorts,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/WH/wyndham-hotels-resorts/stock-price-history'>Wyndham Hotels & Resorts (WH)</a>,https://www.macrotrends.net/stocks/charts/WH/wyndham-hotels-resorts/
VAC,Marriot Vacations Worldwide,https://www.macrotrends.net/stocks/charts/VAC/marriot-vacations-worldwide/,marriot-vacations-worldwide,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/VAC/marriot-vacations-worldwide/stock-price-history'>Marriot Vacations Worldwide (VAC)</a>,https://www.macrotrends.net/stocks/charts/VAC/marriot-vacations-worldwide/
HGV,Hilton Grand Vacations,https://www.macrotrends.net/stocks/charts/HGV/hilton-grand-vacations/,hilton-grand-vacations,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/HGV/hilton-grand-vacations/stock-price-history'>Hilton Grand Vacations (HGV)</a>,https://www.macrotrends.net/stocks/charts/HGV/hilton-grand-vacations/
BALY,Bally's,https://www.macrotrends.net/stocks/charts/BALY/ballys/,ballys,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/BALY/ballys/stock-price-history'>Bally's (BALY)</a>,https://www.macrotrends.net/stocks/charts/BALY/ballys/
GHG,GreenTree Hospitality Group,https://www.macrotrends.net/stocks/charts/GHG/greentree-hospitality-group/,greentree-hospitality-group,Hotels & Motels,China,<a href='https://www.macrotrends.net/stocks/charts/GHG/greentree-hospitality-group/stock-price-history'>GreenTree Hospitality Group (GHG)</a>,https://www.macrotrends.net/stocks/charts/GHG/greentree-hospitality-group/
CVEO,Civeo,https://www.macrotrends.net/stocks/charts/CVEO/civeo/,civeo,Hotels & Motels,United States,<a href='https://www.macrotrends.net/stocks/charts/CVEO/civeo/stock-price-history'>Civeo (CVEO)</a>,https://www.macrotrends.net/stocks/charts/CVEO/civeo/
SHW,Sherwin-Williams,https://www.macrotrends.net/stocks/charts/SHW/sherwin-williams/,sherwin-williams,Paints & Allied Products,United States,<a href='https://www.macrotrends.net/stocks/charts/SHW/sherwin-williams/stock-price-history'>Sherwin-Williams (SHW)</a>,https://www.macrotrends.net/stocks/charts/SHW/sherwin-williams/
RPM,RPM,https://www.macrotrends.net/stocks/charts/RPM/rpm/,rpm,Paints & Allied Products,United States,<a href='https://www.macrotrends.net/stocks/charts/RPM/rpm/stock-price-history'>RPM (RPM)</a>,https://www.macrotrends.net/stocks/charts/RPM/rpm/
